"finalName","genus","family"
"Hylaeus floridanus","Hylaeus","Colletidae"
"Lasioglossum coriaceum","Lasioglossum","Halictidae"
"Osmia georgica","Osmia","Megachilidae"
"Andrena amphibola","Andrena","Andrenidae"
"Anthophora estebana","Anthophora","Apidae"
"Bombus frigidus","Bombus","Apidae"
"Ceratina diodonta","Ceratina","Apidae"
"Colletes americanus","Colletes","Colletidae"
"Lasioglossum callidum","Lasioglossum","Halictidae"
"Lasioglossum trigeminum","Lasioglossum","Halictidae"
"Megachile dentitarsus","Megachile","Megachilidae"
"Megachile mellitarsis","Megachile","Megachilidae"
"Megachile lapponica","Megachile","Megachilidae"
"Melissodes dentiventris","Melissodes","Apidae"
"Melissodes druriellus","Melissodes","Apidae"
"Nomada articulata","Nomada","Apidae"
"Perdita consobrina","Perdita","Andrenidae"
"Perdita halictoides","Perdita","Andrenidae"
"Triepeolus pectoralis","Triepeolus","Apidae"
"Xylocopa micheneri","Xylocopa","Apidae"
"Andrena mariae","Andrena","Andrenidae"
"Colletes birkmanni","Colletes","Colletidae"
"Dianthidium concinnum","Dianthidium","Megachilidae"
"Lasioglossum zephyrus","Lasioglossum","Halictidae"
"Pseudopanurgus verticalis","Pseudopanurgus","Andrenidae"
"Triepeolus melanarius","Triepeolus","Apidae"
"Lasioglossum admirandum","Lasioglossum","Halictidae"
"Andrena ablegata","Andrena","Andrenidae"
"Andrena barbilabris","Andrena","Andrenidae"
"Andrena nubecula","Andrena","Andrenidae"
"Coelioxys porterae","Coelioxys","Megachilidae"
"Lasioglossum cressonii","Lasioglossum","Halictidae"
"Lasioglossum illinoense","Lasioglossum","Halictidae"
"Lasioglossum perichlarus","Lasioglossum","Halictidae"
"Lasioglossum zonulum","Lasioglossum","Halictidae"
"Melissodes grindeliae","Melissodes","Apidae"
"Perdita perpulchra","Perdita","Andrenidae"
"Svastra petulca","Svastra","Apidae"
"Tetraloniella albata","Tetraloniella","Apidae"
"Triepeolus lunatus","Triepeolus","Apidae"
"Triepeolus simplex","Triepeolus","Apidae"
"Andrena hippotes","Andrena","Andrenidae"
"Anthidium oblongatum","Anthidium","Megachilidae"
"Ceratina cobaltina","Ceratina","Apidae"
"Lasioglossum ellisiae","Lasioglossum","Halictidae"
"Lasioglossum halophitus","Lasioglossum","Halictidae"
"Osmia austromaritima","Osmia","Megachilidae"
"Perdita sphaeralceae","Perdita","Andrenidae"
"Andrena banksi","Andrena","Andrenidae"
"Bombus ternarius","Bombus","Apidae"
"Osmia cornifrons","Osmia","Megachilidae"
"Epeolus bifasciatus","Epeolus","Apidae"
"Andrena nasonii","Andrena","Andrenidae"
"Eucera hamata","Eucera","Apidae"
"Bombus affinis","Bombus","Apidae"
"Bombus citrinus","Bombus","Apidae"
"Melissodes desponsus","Melissodes","Apidae"
"Agapostemon coloradinus","Agapostemon","Halictidae"
"Andrena erythronii","Andrena","Andrenidae"
"Andrena rudbeckiae","Andrena","Andrenidae"
"Bombus ashtoni","Bombus","Apidae"
"Bombus auricomus","Bombus","Apidae"
"Bombus perplexus","Bombus","Apidae"
"Calliopsis nebraskensis","Calliopsis","Andrenidae"
"Ceratina calcarata","Ceratina","Apidae"
"Hoplitis pilosifrons","Hoplitis","Megachilidae"
"Hylaeus affinis","Hylaeus","Colletidae"
"Lasioglossum leucozonium","Lasioglossum","Halictidae"
"Lasioglossum rohweri","Lasioglossum","Halictidae"
"Melissodes boltoniae","Melissodes","Apidae"
"Melissodes coloradensis","Melissodes","Apidae"
"Melissodes coreopsis","Melissodes","Apidae"
"Melissodes denticulatus","Melissodes","Apidae"
"Melissodes trinodis","Melissodes","Apidae"
"Melissodes wheeleri","Melissodes","Apidae"
"Melitoma taurea","Melitoma","Apidae"
"Sphecodes dichrous","Sphecodes","Halictidae"
"Sphecodes ranunculi","Sphecodes","Halictidae"
"Andrena hirticincta","Andrena","Andrenidae"
"Coelioxys alternatus","Coelioxys","Megachilidae"
"Dufourea monardae","Dufourea","Halictidae"
"Dufourea novaeangliae","Dufourea","Halictidae"
"Lasioglossum lusorium","Lasioglossum","Halictidae"
"Lasioglossum versatum","Lasioglossum","Halictidae"
"Megachile fortis","Megachile","Megachilidae"
"Osmia distincta","Osmia","Megachilidae"
"Triepeolus donatus","Triepeolus","Apidae"
"Andrena personata","Andrena","Andrenidae"
"Dufourea marginata","Dufourea","Halictidae"
"Lasioglossum forbesii","Lasioglossum","Halictidae"
"Lasioglossum oceanicum","Lasioglossum","Halictidae"
"Andrena erythrogaster","Andrena","Andrenidae"
"Andrena nuda","Andrena","Andrenidae"
"Andrena wilkella","Andrena","Andrenidae"
"Bombus borealis","Bombus","Apidae"
"Colletes inaequalis","Colletes","Colletidae"
"Melitoma grisella","Melitoma","Apidae"
"Anthidium psoraleae","Anthidium","Megachilidae"
"Protandrena abdominalis","Protandrena","Andrenidae"
"Andrena carlini","Andrena","Andrenidae"
"Andrena macoupinensis","Andrena","Andrenidae"
"Lasioglossum pictum","Lasioglossum","Halictidae"
"Andrena placata","Andrena","Andrenidae"
"Ceratina strenua","Ceratina","Apidae"
"Andrena aliciae","Andrena","Andrenidae"
"Andrena carolina","Andrena","Andrenidae"
"Hoplitis simplex","Hoplitis","Megachilidae"
"Hylaeus illinoisensis","Hylaeus","Colletidae"
"Lasioglossum leucocomus","Lasioglossum","Halictidae"
"Lasioglossum lineatulum","Lasioglossum","Halictidae"
"Lasioglossum subviridatum","Lasioglossum","Halictidae"
"Lasioglossum vierecki","Lasioglossum","Halictidae"
"Osmia atriventris","Osmia","Megachilidae"
"Osmia pumila","Osmia","Megachilidae"
"Sphecodes davisii","Sphecodes","Halictidae"
"Andrena alleghaniensis","Andrena","Andrenidae"
"Lasioglossum oblongum","Lasioglossum","Halictidae"
"Andrena canadensis","Andrena","Andrenidae"
"Andrena erigeniae","Andrena","Andrenidae"
"Eucera rosae","Eucera","Apidae"
"Lasioglossum pilosum","Lasioglossum","Halictidae"
"Osmia subarctica","Osmia","Megachilidae"
"Sphecodes eustictus","Sphecodes","Halictidae"
"Sphecodes pimpinellae","Sphecodes","Halictidae"
"Lasioglossum viridatum","Lasioglossum","Halictidae"
"Lasioglossum abanci","Lasioglossum","Halictidae"
"Lasioglossum atwoodi","Lasioglossum","Halictidae"
"Lasioglossum ephialtum","Lasioglossum","Halictidae"
"Lasioglossum fedorense","Lasioglossum","Halictidae"
"Lasioglossum imitatum","Lasioglossum","Halictidae"
"Lasioglossum nigroviride","Lasioglossum","Halictidae"
"Lasioglossum perpunctatum","Lasioglossum","Halictidae"
"Lasioglossum swenki","Lasioglossum","Halictidae"
"Lasioglossum testaceum","Lasioglossum","Halictidae"
"Lasioglossum truncatum","Lasioglossum","Halictidae"
"Andrena haynesi","Andrena","Andrenidae"
"Andrena perplexa","Andrena","Andrenidae"
"Hoplitis spoliata","Hoplitis","Megachilidae"
"Lasioglossum anomalum","Lasioglossum","Halictidae"
"Lasioglossum coeruleum","Lasioglossum","Halictidae"
"Lasioglossum katherineae","Lasioglossum","Halictidae"
"Lasioglossum macoupinense","Lasioglossum","Halictidae"
"Lasioglossum smilacinae","Lasioglossum","Halictidae"
"Nomada imbricata","Nomada","Apidae"
"Osmia collinsiae","Osmia","Megachilidae"
"Hylaeus hyalinatus","Hylaeus","Colletidae"
"Nomada maculata","Nomada","Apidae"
"Andrena violae","Andrena","Andrenidae"
"Ceratina mikmaqi","Ceratina","Apidae"
"Panurginus polytrichus","Panurginus","Andrenidae"
"Panurginus potentillae","Panurginus","Andrenidae"
"Anthophora walshii","Anthophora","Apidae"
"Colletes brevicornis","Colletes","Colletidae"
"Lasioglossum cattellae","Lasioglossum","Halictidae"
"Nomada cressonii","Nomada","Apidae"
"Nomada denticulata","Nomada","Apidae"
"Andrena ceanothi","Andrena","Andrenidae"
"Lasioglossum cinctipes","Lasioglossum","Halictidae"
"Lasioglossum laevissimum","Lasioglossum","Halictidae"
"Lasioglossum michiganense","Lasioglossum","Halictidae"
"Lasioglossum obscurum","Lasioglossum","Halictidae"
"Lasioglossum paradmirandum","Lasioglossum","Halictidae"
"Lasioglossum paraforbesii","Lasioglossum","Halictidae"
"Lasioglossum planatum","Lasioglossum","Halictidae"
"Lasioglossum platyparium","Lasioglossum","Halictidae"
"Lasioglossum versans","Lasioglossum","Halictidae"
"Lasioglossum weemsi","Lasioglossum","Halictidae"
"Nomada luteoloides","Nomada","Apidae"
"Pseudopanurgus compositarum","Pseudopanurgus","Andrenidae"
"Andrena tridens","Andrena","Andrenidae"
"Eucera dubitata","Eucera","Apidae"
"Lasioglossum succinipenne","Lasioglossum","Halictidae"
"Perdita swenki","Perdita","Andrenidae"
"Svastra helianthelli","Svastra","Apidae"
"Nomada parva","Nomada","Apidae"
"Coelioxys immaculatus","Coelioxys","Megachilidae"
"Lasioglossum disparile","Lasioglossum","Halictidae"
"Lasioglossum gotham","Lasioglossum","Halictidae"
"Lasioglossum heterognathus","Lasioglossum","Halictidae"
"Lasioglossum timothyi","Lasioglossum","Halictidae"
"Melissodes fumosus","Melissodes","Apidae"
"Nomia universitatis","Nomia","Halictidae"
"Sphecodes galerus","Sphecodes","Halictidae"
"Andrena geranii","Andrena","Andrenidae"
"Andrena platyparia","Andrena","Andrenidae"
"Lasioglossum hartii","Lasioglossum","Halictidae"
"Melissodes illatus","Melissodes","Apidae"
"Nomada armatella","Nomada","Apidae"
"Pseudopanurgus andrenoides","Pseudopanurgus","Andrenidae"
"Andrena dunningi","Andrena","Andrenidae"
"Anthophora occidentalis","Anthophora","Apidae"
"Epeolus scutellaris","Epeolus","Apidae"
"Trachusa cordaticeps","Trachusa","Megachilidae"
"Andrena ziziae","Andrena","Andrenidae"
"Bombus terricola","Bombus","Apidae"
"Andrena arabis","Andrena","Andrenidae"
"Andrena chromotricha","Andrena","Andrenidae"
"Andrena distans","Andrena","Andrenidae"
"Andrena forbesii","Andrena","Andrenidae"
"Andrena integra","Andrena","Andrenidae"
"Andrena wheeleri","Andrena","Andrenidae"
"Nomada affabilis","Nomada","Apidae"
"Nomada depressa","Nomada","Apidae"
"Pseudopanurgus albitarsis","Pseudopanurgus","Andrenidae"
"Lasioglossum aberrans","Lasioglossum","Halictidae"
"Osmia inermis","Osmia","Megachilidae"
"Bombus kirbiellus","Bombus","Apidae"
"Andrena wilmattae","Andrena","Andrenidae"
"Perdita moabensis","Perdita","Andrenidae"
"Andrena gardineri","Andrena","Andrenidae"
"Andrena bisalicis","Andrena","Andrenidae"
"Andrena commoda","Andrena","Andrenidae"
"Andrena lupinorum","Andrena","Andrenidae"
"Lasioglossum ebmerellum","Lasioglossum","Halictidae"
"Lasioglossum packeri","Lasioglossum","Halictidae"
"Nomada superba","Nomada","Apidae"
"Andrena salictaria","Andrena","Andrenidae"
"Diadasia megamorpha","Diadasia","Apidae"
"Lasioglossum boreale","Lasioglossum","Halictidae"
"Lasioglossum simplex","Lasioglossum","Halictidae"
"Nomada obliterata","Nomada","Apidae"
"Osmia tarsata","Osmia","Megachilidae"
"Andrena ziziaeformis","Andrena","Andrenidae"
"Anthophora maculifrons","Anthophora","Apidae"
"Anthophora peritomae","Anthophora","Apidae"
"Atoposmia abjecta","Atoposmia","Megachilidae"
"Coelioxys funerarius","Coelioxys","Megachilidae"
"Perdita beatula","Perdita","Andrenidae"
"Perdita eximia","Perdita","Andrenidae"
"Anthidium rodecki","Anthidium","Megachilidae"
"Osmia crassa","Osmia","Megachilidae"
"Andrena buckelli","Andrena","Andrenidae"
"Lasioglossum pulveris","Lasioglossum","Halictidae"
"Osmia nifoata","Osmia","Megachilidae"
"Perdita tortifoliae","Perdita","Andrenidae"
"Stelis palmarum","Stelis","Megachilidae"
"Osmia sanrafaelae","Osmia","Megachilidae"
"Colletes gypsicolens","Colletes","Colletidae"
"Lasioglossum abundipunctum","Lasioglossum","Halictidae"
"Osmia alpestris","Osmia","Megachilidae"
"Perdita idonea","Perdita","Andrenidae"
"Holcopasites calliopsidis","Holcopasites","Apidae"
"Andrena thaspii","Andrena","Andrenidae"
"Dufourea harveyi","Dufourea","Halictidae"
"Melissodes metenua","Melissodes","Apidae"
"Andrena sigmundi","Andrena","Andrenidae"
"Andrena fragilis","Andrena","Andrenidae"
"Nomada illinoensis","Nomada","Apidae"
"Andrena bradleyi","Andrena","Andrenidae"
"Andrena brevipalpis","Andrena","Andrenidae"
"Andrena heraclei","Andrena","Andrenidae"
"Andrena pruni","Andrena","Andrenidae"
"Andrena rugosa","Andrena","Andrenidae"
"Colletes validus","Colletes","Colletidae"
"Macropis nuda","Macropis","Melittidae"
"Nomada sayi","Nomada","Apidae"
"Osmia albiventris","Osmia","Megachilidae"
"Sphecodes aroniae","Sphecodes","Halictidae"
"Andrena clarkella","Andrena","Andrenidae"
"Andrena uvulariae","Andrena","Andrenidae"
"Nomada bethunei","Nomada","Apidae"
"Nomada lepida","Nomada","Apidae"
"Andrena mandibularis","Andrena","Andrenidae"
"Nomada ovata","Nomada","Apidae"
"Andrena regularis","Andrena","Andrenidae"
"Andrena robertsonii","Andrena","Andrenidae"
"Bombus sandersoni","Bombus","Apidae"
"Melitta americana","Melitta","Melittidae"
"Nomada bella","Nomada","Apidae"
"Nomada xanthura","Nomada","Apidae"
"Osmia virga","Osmia","Megachilidae"
"Sphecodes confertus","Sphecodes","Halictidae"
"Sphecodes coronus","Sphecodes","Halictidae"
"Lasioglossum acuminatum","Lasioglossum","Halictidae"
"Nomada cuneata","Nomada","Apidae"
"Andrena nida","Andrena","Andrenidae"
"Andrena simplex","Andrena","Andrenidae"
"Andrena virginiana","Andrena","Andrenidae"
"Lasioglossum oenotherae","Lasioglossum","Halictidae"
"Melitta melittoides","Melitta","Melittidae"
"Osmia inspergens","Osmia","Megachilidae"
"Andrena nigrihirta","Andrena","Andrenidae"
"Nomada vicina","Nomada","Apidae"
"Sphecodes cressonii","Sphecodes","Halictidae"
"Sphecodes illinoensis","Sphecodes","Halictidae"
"Sphecodes johnsonii","Sphecodes","Halictidae"
"Andrena morrisonella","Andrena","Andrenidae"
"Nomada electa","Nomada","Apidae"
"Nomada gracilis","Nomada","Apidae"
"Nomada perplexa","Nomada","Apidae"
"Sphecodes levis","Sphecodes","Halictidae"
"Andrena nigrae","Andrena","Andrenidae"
"Lasioglossum lionotus","Lasioglossum","Halictidae"
"Andrena braccata","Andrena","Andrenidae"
"Andrena hilaris","Andrena","Andrenidae"
"Andrena cornelli","Andrena","Andrenidae"
"Hylaeus sparsus","Hylaeus","Colletidae"
"Lasioglossum rozeni","Lasioglossum","Halictidae"
"Macropis ciliata","Macropis","Melittidae"
"Nomada composita","Nomada","Apidae"
"Nomada lehighensis","Nomada","Apidae"
"Sphecodes banksii","Sphecodes","Halictidae"
"Andrena fenningeri","Andrena","Andrenidae"
"Anthophora villosula","Anthophora","Apidae"
"Epeolus autumnalis","Epeolus","Apidae"
"Halictus tectus","Halictus","Halictidae"
"Lasioglossum georgeickworti","Lasioglossum","Halictidae"
"Lasioglossum lustrans","Lasioglossum","Halictidae"
"Nomada dreisbachi","Nomada","Apidae"
"Nomada fragariae","Nomada","Apidae"
"Colletes solidaginis","Colletes","Colletidae"
"Triepeolus cressonii","Triepeolus","Apidae"
"Lasioglossum fattigi","Lasioglossum","Halictidae"
"Osmia conjuncta","Osmia","Megachilidae"
"Dianthidium simile","Dianthidium","Megachilidae"
"Lasioglossum sagax","Lasioglossum","Halictidae"
"Lasioglossum taylorae","Lasioglossum","Halictidae"
"Osmia felti","Osmia","Megachilidae"
"Andrena illini","Andrena","Andrenidae"
"Lasioglossum apocyni","Lasioglossum","Halictidae"
"Sphecodes antennariae","Sphecodes","Halictidae"
"Andrena macra","Andrena","Andrenidae"
"Nomada luteola","Nomada","Apidae"
"Melissodes tinctus","Melissodes","Apidae"
"Nomada sulphurata","Nomada","Apidae"
"Hylaeus ornatus","Hylaeus","Colletidae"
"Andrena sayi","Andrena","Andrenidae"
