"","colonies_region","region"
"1",631444.258568054,"Basin and Range"
"2",197506.378000746,"Central"
"3",1454054.72382994,"Fruitful Rim"
"4",115450.987910895,"Northern Crescent"
"5",113944.871537017,"Northern Great Plains"
"6",301708.781767894,"South East"
